schema|SelectedProfileManifestV1
profile_id|VITHEIM-PRODUCTION-V1
generation|2
default_evidence_state|Specified
stop_id|selection|declared_minimum_dependencies|capability_dependencies|dependency_state|increment|delivery_slices|required_for_claims|capability|executable_owner|integration_retest_owners|required_storage_profile|required_identity_profile|required_runtime_profile|successor_after_skip|support_boundary|dependency_class|reason
0.1.0|Mandatory|none|none|DeclaredMinimum|I0-feasibility|production-common|VITHEIM-PRODUCTION-V1,core-service-operations,security-asset-operations|Repository And Security Baseline|specified:docs/implementation/PHASE_A.md#0.1.0|0.1.0,0.424.0|none-or-memory|fake-facts-only|N0-N1|not-applicable|SpecifiedUntilExactStopAndPentest|selected-closure|required by the combined production-v1 claim
0.2.0|Mandatory|0.1.0|0.1.0|PackageExact|I1-foundation|production-common|VITHEIM-PRODUCTION-V1,core-service-operations,security-asset-operations|Typed IDs, Time, And Stable Errors|planned:crates/vitheim-id|0.2.0,0.424.0|none-or-memory|fake-facts-only|N0-N1|not-applicable|SpecifiedUntilExactStopAndPentest|selected-closure|required by the combined production-v1 claim
0.3.0|Mandatory|0.2.0|0.2.0|DeclaredMinimum|I1-foundation|production-common|VITHEIM-PRODUCTION-V1,core-service-operations,security-asset-operations|Budgets And Fixed-Capacity Values|specified:docs/implementation/PHASE_A.md#0.3.0|0.3.0,0.424.0|none-or-memory|fake-facts-only|N0-N1|not-applicable|SpecifiedUntilExactStopAndPentest|selected-closure|required by the combined production-v1 claim
0.4.0|Mandatory|0.3.0|0.3.0|DeclaredMinimum|I1-foundation|production-common|VITHEIM-PRODUCTION-V1,core-service-operations,security-asset-operations|Canonical Dynamic Value Model|specified:docs/implementation/PHASE_A.md#0.4.0|0.4.0,0.424.0|none-or-memory|fake-facts-only|N0-N1|not-applicable|SpecifiedUntilExactStopAndPentest|selected-closure|required by the combined production-v1 claim
0.5.0|Mandatory|0.4.0|0.4.0|DeclaredMinimum|I1-foundation|production-common|VITHEIM-PRODUCTION-V1,core-service-operations,security-asset-operations|Schemas And Field Constraints|specified:docs/implementation/PHASE_A.md#0.5.0|0.5.0,0.424.0|none-or-memory|fake-facts-only|N0-N1|not-applicable|SpecifiedUntilExactStopAndPentest|selected-closure|required by the combined production-v1 claim
0.6.0|Mandatory|0.5.0|0.5.0|DeclaredMinimum|I1-foundation|production-common|VITHEIM-PRODUCTION-V1,core-service-operations,security-asset-operations|Deterministic Bounded Codec|specified:docs/implementation/PHASE_A.md#0.6.0|0.6.0,0.424.0|none-or-memory|fake-facts-only|N0-N1|not-applicable|SpecifiedUntilExactStopAndPentest|selected-closure|required by the combined production-v1 claim
0.7.0|Mandatory|0.6.0|0.6.0|DeclaredMinimum|I1-foundation|production-common|VITHEIM-PRODUCTION-V1,core-service-operations,security-asset-operations|Context And Command Envelope|specified:docs/implementation/PHASE_A.md#0.7.0|0.7.0,0.424.0|none-or-memory|fake-facts-only|N0-N1|not-applicable|SpecifiedUntilExactStopAndPentest|selected-closure|required by the combined production-v1 claim
0.8.0|Mandatory|0.7.0|0.7.0|DeclaredMinimum|I1-foundation|production-common|VITHEIM-PRODUCTION-V1,core-service-operations,security-asset-operations|Event Envelope|specified:docs/implementation/PHASE_A.md#0.8.0|0.8.0,0.424.0|none-or-memory|fake-facts-only|N0-N1|not-applicable|SpecifiedUntilExactStopAndPentest|selected-closure|required by the combined production-v1 claim
0.9.0|Mandatory|0.8.0|0.8.0|DeclaredMinimum|I1-foundation|production-common|VITHEIM-PRODUCTION-V1,core-service-operations,security-asset-operations|Sensitive Payload Lifecycle|specified:docs/implementation/PHASE_A.md#0.9.0|0.9.0,0.424.0|none-or-memory|fake-facts-only|N0-N1|not-applicable|SpecifiedUntilExactStopAndPentest|selected-closure|required by the combined production-v1 claim
0.10.0|Mandatory|0.9.0|0.9.0|DeclaredMinimum|I1-foundation|production-common|VITHEIM-PRODUCTION-V1,core-service-operations,security-asset-operations|Pure Aggregate Framework|specified:docs/implementation/PHASE_A.md#0.10.0|0.10.0,0.424.0|none-or-memory|fake-facts-only|N0-N1|not-applicable|SpecifiedUntilExactStopAndPentest|selected-closure|required by the combined production-v1 claim
0.11.0|Mandatory|0.10.0|0.10.0|DeclaredMinimum|I1-foundation|production-common|VITHEIM-PRODUCTION-V1,core-service-operations,security-asset-operations|In-Memory Incident Vertical Slice|specified:docs/implementation/PHASE_A.md#0.11.0|0.11.0,0.424.0|none-or-memory|fake-facts-only|test-host-only|not-applicable|SpecifiedUntilExactStopAndPentest|selected-closure|required by the combined production-v1 claim
0.12.0|Mandatory|0.11.0|0.11.0|DeclaredMinimum|I5-operational-kernel|production-common|VITHEIM-PRODUCTION-V1,core-service-operations,security-asset-operations|Semantic Event-Journal Interface|specified:docs/implementation/PHASE_B.md#0.12.0|0.12.0,0.424.0|none-or-memory|fake-facts-only|N1-hosted-boundary|not-applicable|SpecifiedUntilExactStopAndPentest|selected-closure|required by the combined production-v1 claim
0.13.0|Mandatory|0.11.0|0.11.0|DeclaredMinimum|I5-operational-kernel|production-common|VITHEIM-PRODUCTION-V1,core-service-operations,security-asset-operations|Deterministic In-Memory Journal|specified:docs/implementation/PHASE_B.md#0.13.0|0.13.0,0.424.0|none-or-memory|fake-facts-only|N1-hosted-boundary|not-applicable|SpecifiedUntilExactStopAndPentest|selected-closure|required by the combined production-v1 claim
0.14.0|Mandatory|0.11.0|0.11.0|DeclaredMinimum|I5-operational-kernel|production-common|VITHEIM-PRODUCTION-V1,core-service-operations,security-asset-operations|Expected-Version Concurrency|specified:docs/implementation/PHASE_B.md#0.14.0|0.14.0,0.424.0|none-or-memory|fake-facts-only|N1-hosted-boundary|not-applicable|SpecifiedUntilExactStopAndPentest|selected-closure|required by the combined production-v1 claim
0.15.0|Mandatory|0.11.0|0.11.0|DeclaredMinimum|I5-operational-kernel|production-common|VITHEIM-PRODUCTION-V1,core-service-operations,security-asset-operations|Snapshots And Validation|specified:docs/implementation/PHASE_B.md#0.15.0|0.15.0,0.424.0|none-or-memory|fake-facts-only|N1-hosted-boundary|not-applicable|SpecifiedUntilExactStopAndPentest|selected-closure|required by the combined production-v1 claim
0.16.0|Mandatory|0.11.0|0.11.0|DeclaredMinimum|I5-operational-kernel|production-common|VITHEIM-PRODUCTION-V1,core-service-operations,security-asset-operations|Projection Engine And Checkpoints|specified:docs/implementation/PHASE_B.md#0.16.0|0.16.0,0.424.0|none-or-memory|fake-facts-only|N1-hosted-boundary|not-applicable|SpecifiedUntilExactStopAndPentest|selected-closure|required by the combined production-v1 claim
0.17.0|Mandatory|0.11.0|0.11.0|DeclaredMinimum|I5-operational-kernel|production-common|VITHEIM-PRODUCTION-V1,core-service-operations,security-asset-operations|Security Audit Envelope And Durable Intent|specified:docs/implementation/PHASE_B.md#0.17.0|0.17.0,0.424.0|none-or-memory|fake-facts-only|N1-hosted-boundary|not-applicable|SpecifiedUntilExactStopAndPentest|selected-closure|required by the combined production-v1 claim
0.18.0|Mandatory|0.11.0|0.11.0|DeclaredMinimum|I5-operational-kernel|production-common|VITHEIM-PRODUCTION-V1,core-service-operations,security-asset-operations|Transactional Outbox Model|specified:docs/implementation/PHASE_B.md#0.18.0|0.18.0,0.424.0|none-or-memory|fake-facts-only|N1-hosted-boundary|not-applicable|SpecifiedUntilExactStopAndPentest|selected-closure|required by the combined production-v1 claim
0.19.0|Mandatory|0.11.0|0.11.0|DeclaredMinimum|I5-operational-kernel|production-common|VITHEIM-PRODUCTION-V1,core-service-operations,security-asset-operations|Atomic Command Commit Bundle|specified:docs/implementation/PHASE_B.md#0.19.0|0.19.0,0.424.0|none-or-memory|fake-facts-only|N1-hosted-boundary|not-applicable|SpecifiedUntilExactStopAndPentest|selected-closure|required by the combined production-v1 claim
0.20.0|Mandatory|0.11.0|0.11.0|DeclaredMinimum|I5-operational-kernel|production-common|VITHEIM-PRODUCTION-V1,core-service-operations,security-asset-operations|Inbox And Idempotent Consumers|specified:docs/implementation/PHASE_B.md#0.20.0|0.20.0,0.424.0|none-or-memory|fake-facts-only|N1-hosted-boundary|not-applicable|SpecifiedUntilExactStopAndPentest|selected-closure|required by the combined production-v1 claim
0.21.0|Mandatory|0.11.0|0.11.0|DeclaredMinimum|I5-operational-kernel|production-common|VITHEIM-PRODUCTION-V1,core-service-operations,security-asset-operations|Atomic Consumer Commit Bundle|specified:docs/implementation/PHASE_B.md#0.21.0|0.21.0,0.424.0|none-or-memory|fake-facts-only|N1-hosted-boundary|not-applicable|SpecifiedUntilExactStopAndPentest|selected-closure|required by the combined production-v1 claim
0.22.0|Mandatory|0.11.0|0.11.0|DeclaredMinimum|I5-operational-kernel|production-common|VITHEIM-PRODUCTION-V1,core-service-operations,security-asset-operations|Leases, Timers, And Scheduler Primitives|specified:docs/implementation/PHASE_B.md#0.22.0|0.22.0,0.424.0|none-or-memory|fake-facts-only|N1-hosted-boundary|not-applicable|SpecifiedUntilExactStopAndPentest|selected-closure|required by the combined production-v1 claim
0.23.0|Mandatory|0.11.0|0.11.0|DeclaredMinimum|I5-operational-kernel|production-common|VITHEIM-PRODUCTION-V1,core-service-operations,security-asset-operations|Quota Vocabulary And Ledger Schema|specified:docs/implementation/PHASE_B.md#0.23.0|0.23.0,0.424.0|none-or-memory|fake-facts-only|N1-hosted-boundary|not-applicable|SpecifiedUntilExactStopAndPentest|selected-closure|required by the combined production-v1 claim
0.24.0|Mandatory|0.11.0|0.11.0|DeclaredMinimum|I5-operational-kernel|production-common|VITHEIM-PRODUCTION-V1,core-service-operations,security-asset-operations|Atomic Work Discriminated Bundle Schema|specified:docs/implementation/PHASE_B.md#0.24.0|0.24.0,0.424.0|none-or-memory|fake-facts-only|N1-hosted-boundary|not-applicable|SpecifiedUntilExactStopAndPentest|selected-closure|required by the combined production-v1 claim
0.25.0|Mandatory|0.11.0|0.11.0|DeclaredMinimum|I5-operational-kernel|production-common|VITHEIM-PRODUCTION-V1,core-service-operations,security-asset-operations|Stable Invariant And Law Declaration Registry|specified:docs/implementation/PHASE_B.md#0.25.0|0.25.0,0.424.0|none-or-memory|fake-facts-only|N1-hosted-boundary|not-applicable|SpecifiedUntilExactStopAndPentest|selected-closure|required by the combined production-v1 claim
0.26.0|Mandatory|0.11.0|0.11.0|DeclaredMinimum|I5-operational-kernel|production-common|VITHEIM-PRODUCTION-V1,core-service-operations,security-asset-operations|Bounded Evaluator Re-evaluation Scheduler|specified:docs/implementation/PHASE_B.md#0.26.0|0.26.0,0.424.0|none-or-memory|fake-facts-only|N1-hosted-boundary|not-applicable|SpecifiedUntilExactStopAndPentest|selected-closure|required by the combined production-v1 claim
